"","iso_ter","country","total_area","protected_area","percent_protected","pc_gdp_2016","ecosystem"
"39","IND","India","10.9752122615403","0",0,1714.28,"coldwater_coral"
"40","IRL","Ireland","474.374394242633","187.917398643326",39.6137314585345,63933.925,"coldwater_coral"
"41","ISL","Iceland","528.361101493694","316.867529204908",59.9717746649238,63775.711,"coldwater_coral"
"42","ITA","Italy","166.128989497245","45.6543445503437",27.4812630164712,31357.601,"coldwater_coral"
"43","JAM","Jamaica","19.5994634664317","0.997746576420656",5.09068311043061,5183.462,"coldwater_coral"
"44","JPN","Japan","95.2004617816563","9.62331959682966",10.1084799555919,39411.424,"coldwater_coral"
"45","KEN","Kenya","3.99098631850294","0",0,1688.852,"coldwater_coral"
"46","KIR","Kiribati","1.99549316032311","0",0,1845.78,"coldwater_coral"
"47","KNA","Saint Kitts and Nevis","6.51111490902298","0",0,20546.639,"coldwater_coral"
"48","LBR","Liberia","6.93362618358551","0",0,709.824,"coldwater_coral"
"49","LCA","Saint Lucia","12.3844174162346","1.76116507923105",14.220814916351,10638.138,"coldwater_coral"
"50","LKA","Sri Lanka","3.99098634737099","0",0,4150.367,"coldwater_coral"
"51","MAR","Morocco","152.069298267823","0",0,3235.218,"coldwater_coral"
"52","MDG","Madagascar","9.37406314085495","0.997746585254377",10.6436938845217,489.439,"coldwater_coral"
"53","MEX","Mexico","117.738383967179","45.9973331205691",39.0674065421106,8999.57,"coldwater_coral"
"54","MHL","Marshall Islands","8.97971910029726","0",0,4143.728,"coldwater_coral"
"55","MLT","Malta","4.34711451271544","3.33789040240339",76.78404589159,26738.152,"coldwater_coral"
"56","MMR","Myanmar","5.98647941695625","0",0,1125.44,"coldwater_coral"
"57","MNE","Montenegro","1.99549313801732","0",0,NA,"coldwater_coral"
"58","MOZ","Mozambique","11.9729587680157","0",0,433.672,"coldwater_coral"
"59","MRT","Mauritania","39.6204336641054","0",0,1690.813,"coldwater_coral"
"60","MUS","Mauritius","0.997746579673261","0",0,9967.673,"coldwater_coral"
"61","MYS","Malaysia","7.47166374201478","0.100966641788051",1.35132743220621,9523.316,"coldwater_coral"
